,8/9/18 22:00,8/10/18 0:00,8/10/18 2:00,8/10/18 4:00,8/10/18 6:00,8/10/18 8:00,8/10/18 10:00,8/10/18 12:00,8/10/18 14:00,8/10/18 16:00,8/10/18 18:00,8/10/18 20:00,8/10/18 22:00,8/11/18 0:00,8/11/18 2:00,8/11/18 4:00,8/11/18 6:00,8/11/18 8:00,8/11/18 10:00,8/11/18 12:00,8/11/18 14:00,8/11/18 16:00,8/11/18 18:00,8/11/18 20:00,8/11/18 22:00,8/12/18 0:00,8/12/18 2:00,8/12/18 4:00,8/12/18 6:00,8/12/18 8:00,8/12/18 10:00,8/12/18 12:00,8/12/18 14:00,8/12/18 16:00,8/12/18 18:00,8/12/18 20:00,8/12/18 22:00,8/13/18 0:00,8/13/18 2:00,8/13/18 4:00,8/13/18 6:00,8/13/18 8:00,8/13/18 10:00,8/13/18 12:00,8/13/18 14:00,8/13/18 16:00,8/13/18 18:00,8/13/18 20:00,8/13/18 22:00,8/14/18 0:00,8/14/18 2:00,8/14/18 4:00,8/14/18 6:00,8/14/18 8:00,8/14/18 10:00,8/14/18 12:00,8/14/18 14:00,8/14/18 16:00,8/14/18 18:00,8/14/18 20:00,8/14/18 22:00,8/15/18 0:00,8/15/18 2:00,8/15/18 4:00,8/15/18 6:00,8/15/18 8:00,8/15/18 10:00,8/15/18 12:00,8/15/18 14:00,8/15/18 16:00
TheRealJanel,0,2,0,0,1,8,0,0,0,0,0,4,0,1,4,4,10,0,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,1,0,6,4,14,0,16,3,0,0,0,5,8,9,4,0,3,7,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0
TheWillowtree6,0,0,9,0,10,15,0,10,10,3,0,0,22,1,10,6,3,7,3,1,15,2,5,3,3,0,7,0,0,0,0,0,0,0,0,0,0,1,4,0,7,2,6,4,4,18,11,0,16,0,0,0,11,2,6,42,4,5,3,0,0,0,1,0,0,3,2,0,1,0
The_Rebel_Right,0,0,19,0,0,0,0,14,11,22,36,2,23,0,16,0,0,0,0,23,4,14,19,6,18,20,0,8,4,0,0,24,8,13,12,7,12,8,3,0,0,0,0,12,12,20,8,1,8,5,0,0,0,0,0,10,11,20,7,11,6,5,4,0,0,8,1,16,0,0
TheriotChristy,0,4,7,0,0,0,0,1,2,0,2,0,4,7,0,0,0,0,0,0,1,3,6,1,4,9,1,1,0,0,0,3,10,2,3,1,1,2,0,0,0,0,0,3,7,6,7,0,1,3,3,0,0,0,7,6,1,1,3,5,6,6,0,0,0,0,4,6,2,0
Thevisioncap,0,4,7,4,2,8,4,10,6,9,6,4,5,8,5,4,7,5,3,5,3,3,7,3,2,1,0,3,5,4,5,5,3,6,4,3,3,5,4,5,1,2,0,5,5,4,6,8,3,5,6,3,3,3,6,8,8,4,5,3,4,3,6,2,6,4,5,5,6,0
ThomasS37982821,0,0,0,0,0,0,0,8,5,0,5,0,6,4,3,0,0,0,0,7,2,5,1,7,4,2,1,0,0,0,0,7,1,2,11,3,3,0,1,0,0,0,0,5,0,0,9,7,5,3,1,2,0,0,0,19,0,3,4,8,10,0,2,0,0,0,0,4,4,0
Tia6sc,0,0,0,0,0,0,0,0,16,0,6,3,0,0,0,0,0,0,1,5,1,11,2,4,0,0,0,0,0,0,3,11,0,0,7,1,4,0,0,0,0,0,0,3,0,1,15,12,0,2,0,0,0,0,0,6,8,0,0,8,0,0,0,0,0,0,3,9,3,0
TiredofBS13,0,8,2,0,0,0,1,12,4,0,0,0,0,0,0,0,0,0,0,9,3,1,2,1,0,0,2,0,0,0,7,9,11,3,16,1,3,1,0,0,0,0,3,4,5,12,1,13,6,0,4,0,0,0,7,13,12,3,11,7,1,4,0,0,0,0,1,10,2,0
TomAdams9999,0,8,2,0,0,0,0,0,0,9,0,14,8,0,0,0,0,0,0,0,0,3,10,1,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,11,19,17,27,4,33,4,0,0,0,0,0,0,0,0,12,27,0,0,0,0,0,0,0,0,0
Tombx7M,0,7,0,0,0,13,1,1,0,5,0,9,4,8,1,0,0,0,0,7,3,3,2,0,6,20,0,5,0,0,2,7,25,1,0,4,1,15,1,0,2,11,5,4,1,1,1,1,6,10,0,0,1,6,0,0,2,2,3,7,4,4,0,0,0,2,1,4,5,0
TrevorRosenfels,0,0,0,0,0,0,0,11,4,4,0,0,17,0,0,0,0,0,0,9,6,0,0,7,2,2,0,0,0,0,0,5,18,12,4,5,0,0,0,0,0,0,1,15,10,12,7,3,10,0,0,0,0,0,2,3,0,13,6,0,0,1,10,0,0,0,0,12,0,0
Trey_VonDinkis,0,2,3,4,0,0,0,0,2,5,13,3,19,4,4,4,0,0,0,0,3,4,5,4,5,6,0,5,0,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,12,9,2,8,13,12,0,2,0,0,0,0,8,17,9,1,8,2,0,0,2,0,0,0,6,0
